## MB CDI: WGs

# Note: no stress, alternates (/) on separate lines, phrases on same line, shh removed

Children
Word      	Length    	PS1       	PS2       	PS3       	PS4       	PS5       	PS6       	PS7       	PS8       	PS9       	PS10      	PS11      	PS12      	PS13      	PS14      	PS15      	PS16      	PS sum    	PS avg    	B1        	B2        	B3        	B4        	B5        	B6        	B7        	B8        	B9        	B10       	B11       	B12       	B13       	B14       	B15       	B sum     	B avg     	ND        	Neighbors 
komida    	6         	0.135646  	0.157271  	0.048747  	0.09605   	0.042008  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.706164  	0.117694  	0.042469  	0.013792  	0.006982  	0.010811  	0.024709  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.098763  	0.019753  	0         	
dulTe     	5         	0.044229  	0.060123  	0.078773  	0.015876  	0.096101  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.295102  	0.05902   	0.001678  	0.007145  	0.000887  	0.004676  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.014386  	0.003596  	0         	
f4ixoles  	8         	0.026585  	0.052715  	0.035894  	0.010096  	0.086982  	0.037877  	0.072656  	0.040724  	--        	--        	--        	--        	--        	--        	--        	--        	0.36353   	0.045441  	0.004095  	0.012544  	0         	0.001991  	0.00416   	0.004871  	0.011679  	--        	--        	--        	--        	--        	--        	--        	--        	0.03934   	0.00562   	0         	
gaLeta    	6         	0.02703   	0.24001   	0.019693  	0.119055  	0.079448  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.711678  	0.118613  	0.00746   	0.009796  	0.004311  	0.015144  	0.055197  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.091907  	0.018381  	0         	
elado     	5         	0.055104  	0.02996   	0.072185  	0.029349  	0.086982  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.27358   	0.054716  	0.003214  	0.012534  	0.001668  	0.007901  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.025317  	0.006329  	1         	lado 
njebe     	5         	0.027132  	0.023754  	0.07349   	0.031384  	0.096101  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.251861  	0.050372  	0.000942  	0.018609  	0.002794  	0.005803  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.028148  	0.007037  	1         	nwebe 
webo      	4         	0.003745  	0.148072  	0.048595  	0.122568  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.32298   	0.080745  	0.001988  	0.007186  	0.007986  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.01716   	0.00572   	3         	weso nwebo weko 
xamon     	5         	0.024177  	0.24001   	0.048747  	0.122568  	0.076529  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.512031  	0.102406  	0.006493  	0.019211  	0.003394  	0.020617  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.049714  	0.012428  	1         	xabon 
xugo      	4         	0.024177  	0.060123  	0.024834  	0.122568  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.231702  	0.057926  	0.004712  	0.002423  	0.003105  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.010241  	0.003414  	1         	xulo 
leCe      	4         	0.029934  	0.148072  	0.015547  	0.119055  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.312609  	0.078152  	0.007915  	0.00229   	0.004279  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.014484  	0.004828  	2         	le4e leCa 
