Children
Word      	Length    	PS1       	PS2       	PS3       	PS4       	PS5       	PS6       	PS7       	PS8       	PS9       	PS10      	PS11      	PS12      	PS13      	PS14      	PS15      	PS sum    	PS avg    	B1        	B2        	B3        	B4        	B5        	B6        	B7        	B8        	B9        	B10       	B11       	B12       	B13       	B14       	B sum     	B avg     	ND        	Neighbors 
bUro      	4         	0.078686  	0.023265  	0.016464  	0.072013  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.190427  	0.047607  	0.00134   	0.000467  	0.002833  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.00464   	0.001547  	3         	bUro bAro abUro 
bUo       	3         	0.078686  	0.023265  	0.017241  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.119192  	0.039731  	0.00134   	0         	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.00134   	0.00067   	3         	bUro bjO bEo 
bwEi      	4         	0.078686  	0.042496  	0.06555   	0.030168  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.2169    	0.054225  	0.004561  	0.027762  	0.000714  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.033038  	0.011013  	1         	bwEn 
borEgo    	6         	0.078686  	0.103575  	0.016464  	0.054536  	0.006539  	0.13705   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.39685   	0.066142  	0.00763   	0.00265   	0.000843  	0.00032   	0.001452  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.012895  	0.002579  	0         	
bICo      	4         	0.078686  	0.047164  	0.012221  	0.072013  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.210084  	0.052521  	0.004275  	0.001212  	0.002707  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.008195  	0.002732  	5         	bICos bIno dICo bIbo bICo 
a4dILa    	6         	0.0774    	0.0468    	0.030011  	0.067935  	0.010659  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.378592  	0.063099  	0.00296   	0.002172  	0.003171  	0.003303  	0.004175  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.015781  	0.003156  	1         	a4dILa 
a4AJa     	5         	0.0774    	0.0468    	0.03288   	0.001121  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.264762  	0.052952  	0.00296   	0.006544  	0.000177  	0.000368  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.010049  	0.002512  	2         	a4aJA4 a4AJa 
animAl    	6         	0.0774    	0.035203  	0.0156    	0.020218  	0.071004  	0.041889  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.261313  	0.043552  	0.00547   	0.001124  	0.002457  	0.00258   	0.004641  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.016272  	0.003254  	1         	animAl 
abExa     	5         	0.0774    	0.019126  	0.06555   	0.007919  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.276557  	0.055311  	0.012287  	0.001427  	0.001593  	0.002097  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.017403  	0.004351  	2         	obExa abExa 
t4inEo    	6         	0.061438  	0.0468    	0.0156    	0.035795  	0.036092  	0.13705   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.332776  	0.055463  	0.012193  	0.004116  	0.001656  	0.001319  	0.001406  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.020691  	0.004138  	2         	t4inEos t4inEo 
t4iTIklo  	8         	0.061438  	0.0468    	0.0156    	0.011582  	0.036372  	0.006045  	0.024298  	0.22511   	--        	--        	--        	--        	--        	--        	--        	0.427245  	0.053406  	0.012193  	0.004116  	0.000313  	0.001669  	0.003023  	0.000326  	0.012142  	--        	--        	--        	--        	--        	--        	--        	0.033783  	0.004826  	1         	t4iTIklo 
t4En      	4         	0.061438  	0.0468    	0.06555   	0.035795  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.209584  	0.052396  	0.012193  	0.004314  	0.014217  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.030724  	0.010241  	5         	tEn t4Es tI4en t4En t4Aen 
t4agtO4   	7         	0.061438  	0.0468    	0.039934  	0.021789  	0.080506  	0.016862  	0.061812  	--        	--        	--        	--        	--        	--        	--        	--        	0.32914   	0.04702   	0.012193  	0.008153  	0.001329  	0.00016   	0.001576  	0.004017  	--        	--        	--        	--        	--        	--        	--        	--        	0.027428  	0.004571  	0         	
mOto      	4         	0.081036  	0.06341   	0.060157  	0.072013  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.276615  	0.069154  	0.005892  	0.003372  	0.006074  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.015337  	0.005112  	12        	moxO mOro rOto montO mOnto fOto mOTo mOJo mOto mEto matO mAto 
elikObte4o	10        	0.057527  	0.021638  	0.0156    	0.021731  	0.014206  	0.014602  	0.080349  	0.064852  	0.070887  	0.228184  	--        	--        	--        	--        	--        	0.589576  	0.058958  	0.001884  	0.00013   	0         	0.001094  	0         	0         	0.02112   	0         	0.020507  	--        	--        	--        	--        	--        	0.044736  	0.004971  	0         	
kAro      	4         	0.137479  	0.084683  	0.016464  	0.072013  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.310639  	0.07766   	0.015554  	0.000813  	0.002833  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.0192    	0.0064    	12        	kAo kAso kA4o kagO kAgo kACo kATo kAbo bAro kaLO kOro kAro 
kOCe      	4         	0.137479  	0.06341   	0.012221  	0.076687  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.289797  	0.072449  	0.012063  	0.001495  	0.002407  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.015965  	0.005322  	9         	kOxe kOCes kOse kOre nOCe kOme kOle kOCo kOCe 
kareOla   	7         	0.137479  	0.125889  	0.016464  	0.076687  	0.014206  	0.041889  	0.120673  	--        	--        	--        	--        	--        	--        	--        	--        	0.533287  	0.076184  	0.031848  	0.002142  	0.001727  	0.00016   	0.00123   	0.013883  	--        	--        	--        	--        	--        	--        	--        	--        	0.050991  	0.008498  	0         	
kamjOn    	6         	0.137479  	0.125889  	0.054628  	0.022171  	0.014206  	0.082653  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.437027  	0.072838  	0.031848  	0.011282  	0.002101  	0.003266  	0.006031  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.054528  	0.010906  	1         	kamjOn 
t4Oka     	5         	0.061438  	0.0468    	0.006142  	0.021731  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.242673  	0.048535  	0.012193  	0.00148   	0         	0.006359  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.020032  	0.005008  	2         	tOka t4Ona 
kamjOnd...	15        	0.137479  	0.125889  	0.054628  	0.022171  	0.014206  	0.082653  	0.058006  	0.064852  	0.010155  	0.228184  	0.02132   	N/A       	N/A       	N/A       	N/A       	0.819543  	0.054636  	0.031848  	0.011282  	0.002101  	0.003266  	0.006031  	0.030464  	0.002978  	0         	0         	0         	0         	0         	0         	0         	0.087971  	0.006284  	0         	
